league,city,name,logo
NBA,Boston,Celtics,http://content.sportslogos.net/logos/6/213/thumbs/slhg02hbef3j1ov4lsnwyol5o.gif
NBA,New Jersey,Nets,http://content.sportslogos.net/logos/6/3786/thumbs/hsuff5m3dgiv20kovde422r1f.gif
NBA,New York,Knicks,http://content.sportslogos.net/logos/6/216/thumbs/2nn48xofg0hms8k326cqdmuis.gif
NBA,Philadelphia,76ers,http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif
NBA,Toronto,Raptors,http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif
NBA,Chicago,Bulls,http://content.sportslogos.net/logos/6/221/thumbs/hj3gmh82w9hffmeh3fjm5h874.gif
NBA,Cleveland,Cavaliers,http://content.sportslogos.net/logos/6/222/thumbs/22269212018.gif
NBA,Detroit,Pistons,http://content.sportslogos.net/logos/6/223/thumbs/22321642018.gif
NBA,Indiana,Pacers,http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif
NBA,Milwaukee,Bucks,http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif
NBA,Atlanta,Hawks,http://content.sportslogos.net/logos/6/220/thumbs/22091682016.gif
NBA,Charlotte,Hornets,http://content.sportslogos.net/logos/6/5120/thumbs/512019262015.gif
NBA,Miami,Heat,http://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif
NBA,Orlando,Magic,http://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif
NBA,Washington,Wizards,http://content.sportslogos.net/logos/6/219/thumbs/21956712016.gif
NBA,Denver,Nuggets,http://content.sportslogos.net/logos/6/229/thumbs/22989262019.gif
NBA,Minnesota,Timberwolves,http://content.sportslogos.net/logos/6/232/thumbs/23296692018.gif
NBA,Oklahoma City,Thunder,http://content.sportslogos.net/logos/6/2687/thumbs/khmovcnezy06c3nm05ccn0oj2.gif
NBA,Portland Trail,Blazers,http://content.sportslogos.net/logos/6/239/thumbs/23997252018.gif
NBA,Utah,Jazz,http://content.sportslogos.net/logos/6/234/thumbs/23467492017.gif
NBA,Golden State,Warriors,http://content.sportslogos.net/logos/6/235/thumbs/23531522020.gif
NBA,Los Angeles,Clippers,http://content.sportslogos.net/logos/6/236/thumbs/23654622016.gif
NBA,Los Angeles,Lakers,http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif
NBA,Phoenix,Suns,http://content.sportslogos.net/logos/6/238/thumbs/23843702014.gif
NBA,Sacramento,Kings,http://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif
NBA,Dallas,Mavericks,http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif
NBA,Houston,Rockets,http://content.sportslogos.net/logos/6/230/thumbs/23068302020.gif
NBA,Memphis,Grizzlies,http://content.sportslogos.net/logos/6/231/thumbs/23143732019.gif
NBA,New Orleans,Hornets,http://content.sportslogos.net/logos/6/4962/thumbs/496226812014.gif
NBA,San Antonio,Spurs,http://content.sportslogos.net/logos/6/233/thumbs/23325472018.gif
